area type,availability,location,size,society,total sqft,bath,balcony,price
super built up  area,18 may,old airport road,2 BHK,jaades,1655,2.0,1.0,97.65
super built up  area,ready to move,uttarahalli,2 BHK,slnsspr,1155,2.0,2.0,40.42
built up  area,ready to move,sarjapur  road,3 BHK,esatea,1300,2.0,2.0,70.0
super built up  area,ready to move,electronic city,2 BHK,amhidte,1100,2.0,2.0,45.0
super built up  area,ready to move,doddathoguru,2 BHK,arensh,1030,2.0,2.0,42.0
super built up  area,ready to move,vittasandra,2 BHK,prlla c,2105,2.0,1.0,70.2
built up  area,ready to move,bhoganhalli,3 BHK,prsun s,1700,3.0,2.0,126.0
super built up  area,ready to move,jakkur,3 BHK,brdgeno,1760,3.0,2.0,139.0
built up  area,ready to move,kadugodi,9 Bedroom,grrvagr,6200,9.0,0.0,200.0
built up  area,ready to move,1st stage indira nagar,2 BHK,grrvagr,1400,2.0,1.0,67.0
super built up  area,ready to move,srigandada kaval,2 BHK,grrvagr,1200,2.0,0.0,53.0
built up  area,ready to move,bannerghatta road,2 BHK,haaceal,912,2.0,1.0,55.0
super built up  area,ready to move,whitefield,2 BHK,grrvagr,1102,2.0,1.0,48.0
super built up  area,ready to move,channasandra layout,3 BHK,aconyit,1535,3.0,1.0,55.0
super built up  area,ready to move,haralur road,2 BHK,rinceeg,1243,2.0,2.0,46.0
super built up  area,ready to move,jigani,2 BHK,dlhtsan,918,2.0,2.0,63.2
super built up  area,ready to move,begur road,3 BHK,mjilayl,1500,2.0,3.0,70.0
plot  area,ready to move,mathikere extension,3 Bedroom,grrvagr,3000,3.0,0.0,250.0
super built up  area,ready to move,kasavanhalli,3 BHK,hmwerco,1476,3.0,0.0,89.0
super built up  area,18 apr,mysore road,2 BHK,grrvagr,1200,2.0,3.0,65.0
super built up  area,21 jun,vijayanagar,1 BHK,saityat,606,1.0,0.0,34.78
super built up  area,ready to move,viswajit layout,2 BHK,grrvagr,1100,2.0,3.0,61.0
super built up  area,ready to move,garudachar palya,3 BHK,grrvagr,1295,2.0,1.0,59.5
built up  area,ready to move,neeladri nagar,1 BHK,adingsv,527,1.0,0.0,26.0
super built up  area,ready to move,ombr layout,2 BHK,drerspe,1300,2.0,2.0,80.0
plot  area,ready to move,bommanahalli,3 Bedroom,grrvagr,680,4.0,1.0,68.0
plot  area,ready to move,adityanagar,1 Bedroom,grrvagr,1260,1.0,0.0,41.0
built up  area,ready to move,koramangala,2 BHK,vaanda,1140,2.0,1.0,75.2
plot  area,ready to move,bds layout,1 Bedroom,grrvagr,1500,1.0,0.0,37.5
super built up  area,18 dec,whitefield,3 BHK,prtates,2321,4.0,1.0,128.0
super built up  area,ready to move,sarjapur  road,2 BHK,grrvagr,1390,2.0,2.0,62.0
super built up  area,ready to move,sarjapur  road,3 BHK,asncywo,1725,3.0,3.0,90.0
super built up  area,18 may,hebbal,4 BHK,snontle,3067,4.0,1.0,310.0
super built up  area,18 mar,hennur road,3 BHK,koagati,1186,2.0,1.0,63.0
super built up  area,18 dec,kanakpura road,2 BHK,prityfa,1230,2.0,1.0,85.0
built up  area,ready to move,mysore highway,1 BHK,grrvagr,600,1.0,1.0,17.0
super built up  area,18 dec,yeshwanthpur,3 BHK,grrvagr,1313,3.0,1.0,96.0
super built up  area,ready to move,ambalipura,2 BHK,grrvagr,1250,2.0,2.0,66.25
plot  area,ready to move,hbr layout,9 Bedroom,grrvagr,1200,6.0,3.0,280.0
super built up  area,19 dec,binny pete,1 BHK,she 2rk,660,1.0,1.0,54.0
super built up  area,ready to move,basavangudi,2 BHK,tinori,1036,2.0,2.0,105.0
built up  area,ready to move,koramangala,4 BHK,grrvagr,2700,4.0,3.0,450.0
super built up  area,ready to move,old madras road,2 BHK,teilsaf,1100,2.0,1.0,70.0
plot  area,immediate possession,devanahalli,2 BHK,ajleyor,1500 - 2400,2.0,2.0,46.8
plot  area,ready to move,btm 2nd stage,4 Bedroom,grrvagr,1500,2.0,1.0,450.0
plot  area,ready to move,singasandra,4 Bedroom,grrvagr,525,5.0,2.0,56.0
built up  area,ready to move,electronics city phase 1,2 BHK,gaicave,1015,2.0,1.0,56.0
plot  area,ready to move,gottigere,1 Bedroom,grrvagr,812,1.0,0.0,26.0
built up  area,ready to move,narayana nagar 1st block,3 BHK,grrvagr,1360,2.0,2.0,65.0
super built up  area,ready to move,nehru nagar,3 BHK,ceste c,2167,3.0,3.0,170.0
super built up  area,ready to move,raja rajeshwari nagar,2 BHK,grrvagr,1200,2.0,1.0,35.0
super built up  area,ready to move,gopalkrishna nagar,2 BHK,mjarlpe,1165,2.0,2.0,75.0
super built up  area,ready to move,btm 2nd stage,2 BHK,ndclenn,1274,2.0,2.0,70.0
super built up  area,ready to move,raja rajeshwari nagar,2 BHK,grrvagr,1151,2.0,2.0,39.02
plot  area,ready to move,vidyaranyapura,6 Bedroom,grrvagr,1060,6.0,3.0,110.0
super built up  area,ready to move,thubarahalli,3 BHK,shdhisa,1626,2.0,2.0,120.0
super built up  area,ready to move,banashankari stage v,2 BHK,grrvagr,1035,2.0,2.0,35.77
plot  area,ready to move,shanthi layout,3 Bedroom,grrvagr,1272,4.0,0.0,75.0
built up  area,ready to move,jeevan bima nagar,2 BHK,grrvagr,965,2.0,1.0,45.0
plot  area,ready to move,esther enclave layout,5 Bedroom,grrvagr,1600,5.0,2.0,140.0
super built up  area,ready to move,kothannur,2 BHK,grrvagr,1070,2.0,1.0,42.79
built up  area,ready to move,raja rajeshwari nagar,3 BHK,spensas,1570,2.0,2.0,65.0
built up  area,ready to move,volagerekallahalli,2 BHK,psteras,117Sq. Yards,2.0,2.0,38.0
super built up  area,ready to move,keerthi layout,2 BHK,nianake,780,2.0,2.0,25.0
super built up  area,ready to move,ganga nagar extension,3 BHK,grrvagr,1000,2.0,1.0,65.0
plot  area,ready to move,9th phase jp nagar,4 Bedroom,grrvagr,1200,3.0,2.0,188.0
built up  area,ready to move,tindlu,7 Bedroom,grrvagr,7500,7.0,2.0,400.0
built up  area,ready to move,5th phase jp nagar,3 BHK,grrvagr,1700,2.0,3.0,100.0
super built up  area,ready to move,haralur road,3 BHK,rbersll,1850,3.0,2.0,110.0
built up  area,ready to move,kereguddadahalli,2 BHK,dsdorsp,904,2.0,1.0,30.0
super built up  area,ready to move,shikaripalya,2 BHK,altonea,1121,2.0,1.0,43.72
super built up  area,ready to move,7th phase jp nagar,3 BHK,vasta c,1385,2.0,2.0,58.17
super built up  area,ready to move,sahakara nagar,2 BHK,rauil t,1270,2.0,1.0,69.85
super built up  area,ready to move,kanakpura road,3 BHK,jrrnauv,1450,3.0,3.0,56.0
plot  area,ready to move,huttanahalli,3 Bedroom,grrvagr,2400,4.0,2.0,325.0
super built up  area,ready to move,mahadevpura,1 BHK,grrvagr,730,1.0,1.0,35.0
super built up  area,ready to move,raja rajeshwari nagar,3 BHK,grrvagr,1580,3.0,3.0,53.56
super built up  area,ready to move,thanisandra,2 BHK,teire g,1111,2.0,1.0,50.0
plot  area,ready to move,kengeri,4 Bedroom,grrvagr,1125,2.0,1.0,88.0
super built up  area,ready to move,varthur,2 BHK,maine j,977,2.0,2.0,36.0
super built up  area,18 dec,gunjur palya,2 BHK,grrvagr,674,1.0,1.0,19.9
plot  area,18 apr,nagarbhavi,3 Bedroom,grrvagr,600,3.0,1.0,83.0
plot  area,ready to move,sarjapur,4 Bedroom,puodsm,2540,4.0,1.0,115.0
super built up  area,17 dec,jakkur,2 BHK,brdgeno,1290,2.0,1.0,100.0
plot  area,ready to move,kumaraswami layout,3 Bedroom,grrvagr,600,3.0,1.0,98.0
super built up  area,ready to move,abbigere,2 BHK,sltias,795,2.0,1.0,32.54
super built up  area,20 dec,kanakpura road,2 BHK,prarepa,700,1.0,1.0,35.0
built up  area,ready to move,ambedkar colony,2 BHK,rmcesa,1463,1.0,1.0,142.0
built up  area,ready to move,vijayanagar,3 Bedroom,grrvagr,1000,3.0,0.0,140.0
super built up  area,ready to move,reliable woods layout,3 BHK,grrvagr,1306,2.0,2.0,58.0
super built up  area,ready to move,4th t block jayanagar,3 BHK,grrvagr,2401,3.0,2.0,185.0
plot  area,ready to move,bommenahalli,4 Bedroom,prana s,1670,3.0,0.0,135.0
built up  area,ready to move,jayanagar,3 BHK,rathira,1875,2.0,3.0,235.0
plot  area,ready to move,marsur,3 Bedroom,arerare,1200,3.0,1.0,90.0
super built up  area,ready to move,dodda nekkundi,3 BHK,grrvagr,1804,3.0,2.0,121.0
super built up  area,ready to move,1st phase jp nagar,3 BHK,prhtsok,2065,4.0,1.0,210.0
super built up  area,ready to move,hoskote,3 BHK,deiveer,1225,3.0,1.0,40.0
super built up  area,18 nov,thanisandra,2 BHK,bhe 2ko,934 - 1437,2.0,0.0,58.68
super built up  area,ready to move,bellandur,2 BHK,trows m,900,2.0,2.0,56.0
super built up  area,19 dec,binny pete,2 BHK,she 2rk,1350,2.0,1.0,91.0
super built up  area,ready to move,kaggalipura,1 BHK,baowsig,700,1.0,0.0,36.0
super built up  area,18 jun,mysore road,2 BHK,gopia o,980 - 1030,2.0,0.0,35.175
super built up  area,ready to move,poorna pragna layout,2 BHK,grrvagr,1160,2.0,1.0,46.39
super built up  area,ready to move,hennur road,3 BHK,chionco,1680,3.0,2.0,99.27
carpet  area,ready to move,lb shastri nagar,2 BHK,charkr,1043,2.0,2.0,55.0
plot  area,ready to move,hoskote,4 Bedroom,grrvagr,1200,4.0,1.0,120.0
super built up  area,ready to move,hebbal,2 BHK,diaveic,1040,2.0,2.0,46.0
super built up  area,ready to move,tindlu,3 BHK,shmolti,1357,2.0,2.0,65.0
plot  area,ready to move,nayandanahalli,7 Bedroom,grrvagr,1600,7.0,1.0,104.0
super built up  area,18 aug,vibhutipura extension,2 BHK,grrvagr,1225,2.0,2.0,47.0
plot  area,ready to move,sunkadakatte,9 Bedroom,grrvagr,1500,6.0,1.0,80.0
super built up  area,ready to move,yelachenahalli,2 BHK,grrvagr,1130,2.0,2.0,40.0
built up  area,ready to move,basavangudi,4 Bedroom,grrvagr,2500,4.0,1.0,150.0
carpet  area,ready to move,sultan palaya,3 BHK,grrvagr,1700,3.0,3.0,120.0
super built up  area,ready to move,doddathoguru,3 BHK,skteras,1549,3.0,2.0,65.0
super built up  area,ready to move,yeshwanthpur,2 BHK,goandn,1400,2.0,2.0,100.0
super built up  area,ready to move,dodda nekkundi,2 BHK,mavarsa,1080,2.0,2.0,50.0
built up  area,ready to move,ulsoor,2 BHK,rilor c,1180,2.0,2.0,100.0
plot  area,ready to move,chandra layout,7 Bedroom,grrvagr,780,7.0,3.0,150.0
super built up  area,ready to move,domlur,3 BHK,saiewas,1800,3.0,2.0,150.0
super built up  area,18 aug,haralur road,2 BHK,snnia e,1225,2.0,1.0,67.38
built up  area,ready to move,chandra layout,1 BHK,grrvagr,890,1.0,1.0,75.0
super built up  area,ready to move,abbigere,2 BHK,sltias,1005,2.0,1.0,39.59
super built up  area,ready to move,whitefield,2 BHK,brlisco,1320,2.0,1.0,95.0
built up  area,ready to move,anandapura,4 BHK,grrvagr,1475,2.0,1.0,50.0
super built up  area,18 dec,kudlu gate,3 BHK,sanzaat,1564 - 1850,2.0,2.0,99.745
super built up  area,ready to move,hagadur,2 BHK,ssoraba,1110,2.0,2.0,51.0
plot  area,18 apr,popular colony,2 Bedroom,grrvagr,1300,2.0,0.0,54.0
plot  area,ready to move,vajarahalli,5 Bedroom,grrvagr,600,3.0,1.0,86.0
super built up  area,18 aug,electronic city,2 BHK,prarkun,1128,2.0,1.0,65.35
super built up  area,22 may,jakkur,2 BHK,soinec,1452.19,2.0,1.0,100.0
plot  area,ready to move,8th block koramangala,3 Bedroom,grrvagr,2400,3.0,2.0,290.0
super built up  area,18 jul,banashankari,3 BHK,rallse,2600,4.0,1.0,135.0
super built up  area,ready to move,sarakki nagar,3 BHK,sowerew,2500,4.0,2.0,325.0
built up  area,ready to move,sanjay nagar,2 BHK,grrvagr,630,1.0,1.0,35.0
super built up  area,ready to move,hosa road,2 BHK,grrvagr,1243,2.0,2.0,48.5
built up  area,ready to move,soundarya layout,2 BHK,goe 3la,960,2.0,2.0,32.0
super built up  area,ready to move,"banashankari 6th stage ,subramanyapura",3 BHK,grrvagr,1690,3.0,2.0,100.0
built up  area,ready to move,whitefield,2 BHK,jahansa,735,2.0,1.0,35.0
super built up  area,ready to move,banaswadi,2 BHK,grrvagr,1365,2.0,2.0,73.0
super built up  area,ready to move,rajaji nagar,5 BHK,pumesim,2849,5.0,0.0,300.0
super built up  area,ready to move,hebbal,2 BHK,mahosya,1420,2.0,1.0,99.39
super built up  area,ready to move,somasundara palya,3 BHK,grrvagr,1570,3.0,3.0,68.0
super built up  area,ready to move,bisuvanahalli,2 BHK,prityel,850,1.0,1.0,32.0
super built up  area,ready to move,7th phase jp nagar,3 BHK,eladero,1575,2.0,2.0,110.0
super built up  area,ready to move,thigalarapalya,2 BHK,prtanha,1418,2.0,2.0,104.0
super built up  area,ready to move,uttarahalli,2 BHK,grrvagr,1050,2.0,1.0,42.0
super built up  area,ready to move,hennur road,2 BHK,gsides,1065,2.0,1.0,42.6
built up  area,ready to move,ulsoor,3 BHK,grrvagr,1340,3.0,0.0,90.0
super built up  area,ready to move,yelahanka new town,3 BHK,grrvagr,1610,3.0,2.0,92.0
built up  area,18 aug,electronic city phase ii,2 BHK,sryalan,1160,2.0,1.0,33.5
super built up  area,ready to move,kudlu,2 BHK,srrnasa,1092,2.0,2.0,44.0
super built up  area,ready to move,yelahanka,3 BHK,apows m,1455,3.0,1.0,61.5
super built up  area,18 jun,abbigere,1 BHK,dsestma,734,1.0,0.0,19.82
built up  area,ready to move,samethanahalli,2 BHK,spontna,799,2.0,1.0,38.0
built up  area,ready to move,whitefield,3 BHK,grrvagr,1896,3.0,1.0,75.0
super built up  area,ready to move,ardendale,2 BHK,miwel m,1100,2.0,1.0,48.0
built up  area,ready to move,bellandur,2 BHK,grrvagr,1350,2.0,1.0,79.0
super built up  area,ready to move,amarjyothi colony,3 BHK,grrvagr,1355,3.0,1.0,61.0
plot  area,ready to move,pattanagere,2 Bedroom,grrvagr,1350,2.0,0.0,90.0
super built up  area,ready to move,cunningham road,3 BHK,lelia m,3875,3.0,2.0,864.0
super built up  area,ready to move,kasavanhalli,3 BHK,grrvagr,1493,3.0,2.0,82.0
super built up  area,ready to move,8th phase jp nagar,2 BHK,mbodsen,1098,2.0,1.0,43.91
super built up  area,ready to move,banashankari,3 BHK,grrvagr,1900,2.0,1.0,170.0
super built up  area,ready to move,dollars layout,3 BHK,sancya,1460,3.0,2.0,88.0
super built up  area,ready to move,frazer town,3 BHK,grrvagr,2350,4.0,3.0,285.0
plot  area,ready to move,horamavu banaswadi,5 Bedroom,grrvagr,1600,5.0,3.0,140.0
super built up  area,ready to move,varthur,2 BHK,hirio l,1091,2.0,1.0,32.0
super built up  area,ready to move,yelahanka,2 BHK,inurave,1180,2.0,3.0,42.0
super built up  area,19 dec,kanakpura road,2 BHK,prityfa,1366,3.0,1.0,76.85
super built up  area,ready to move,rmv extension,3 BHK,dsuresi,1685,3.0,2.0,95.0
built up  area,ready to move,koramangala,2 BHK,gencysi,1260,2.0,3.0,100.0
plot  area,ready to move,whitefield,3 Bedroom,chpana,3010,3.0,2.0,200.0
plot  area,ready to move,ramamurthy nagar,3 Bedroom,grrvagr,1330,4.0,1.0,140.0
plot  area,ready to move,mallasandra,2 Bedroom,grrvagr,1200,2.0,0.0,130.0
super built up  area,18 apr,whitefield,2 BHK,prtates,1346,2.0,1.0,96.17
super built up  area,18 aug,chandapura,1 BHK,dhowsyo,630,1.0,0.0,13.86
super built up  area,19 may,sarjapur  road,3 BHK,klark l,1446 - 1506,2.0,2.0,98.94
super built up  area,ready to move,7th phase jp nagar,3 BHK,brngsal,1850,3.0,2.0,140.0
plot  area,ready to move,frazer town,5 Bedroom,grrvagr,2350,2.0,0.0,423.0
super built up  area,ready to move,electronic city,2 BHK,gmown e,755,1.0,1.0,34.0
plot  area,ready to move,basaveshwara nagar yelahanka,5 Bedroom,grrvagr,800,5.0,2.0,98.0
super built up  area,ready to move,parappana agrahara,2 BHK,peide l,1194,2.0,2.0,46.0
super built up  area,18 feb,whitefield,3 BHK,brlisco,3850,5.0,2.0,316.0
super built up  area,18 jul,hebbal,4 BHK,cehosy,4235,4.0,2.0,365.0
plot  area,18 apr,kurubarahalli,1 Bedroom,grrvagr,800,1.0,0.0,52.0
super built up  area,ready to move,rachenahalli,3 BHK,leino c,2250,3.0,1.0,195.0
super built up  area,ready to move,vijayanagar,2 BHK,rancy r,1352,2.0,2.0,68.0
super built up  area,ready to move,thanisandra,3 BHK,soitya,2002,3.0,2.0,112.0
plot  area,ready to move,bileshivale,4 Bedroom,feowsme,4000,5.0,1.0,280.0
built up  area,ready to move,kaval byrasandra,2 BHK,kuncyre,1060,2.0,2.0,45.0
super built up  area,ready to move,kanakpura road,3 BHK,soapesu,1419.59,2.0,1.0,59.0
super built up  area,ready to move,raja rajeshwari nagar,2 BHK,grrvagr,1196,2.0,2.0,51.15
built up  area,18 dec,electronic city,3 BHK,grrvagr,1220,2.0,2.0,35.24
super built up  area,18 apr,electronics city phase 1,3 BHK,shitt s,1595,3.0,2.0,75.0
super built up  area,ready to move,banashankari,2 BHK,goeesem,1260,2.0,3.0,75.0
super built up  area,ready to move,hebbal,2 BHK,grrvagr,1100,2.0,2.0,47.0
super built up  area,ready to move,frazer town,2 BHK,asneren,1550,2.0,2.0,140.0
super built up  area,ready to move,isro layout,2 BHK,grrvagr,1180,2.0,3.0,52.0
plot  area,18 dec,electronic city,4 Bedroom,janaala,4000,5.0,1.0,150.0
built up  area,ready to move,akshaya nagar,3 BHK,dlhtsnd,1662,3.0,2.0,85.0
plot  area,ready to move,akshaya nagar,4 Bedroom,grrvagr,1080,4.0,1.0,75.0
super built up  area,ready to move,ambedkar nagar,3 BHK,soechha,1862,3.0,2.0,119.0
super built up  area,ready to move,raja rajeshwari nagar,2 BHK,grrvagr,1419,2.0,2.0,48.0
built up  area,14 nov,whitefield,3 BHK,grrvagr,1410,3.0,2.0,43.71
super built up  area,ready to move,raja rajeshwari nagar,3 BHK,prrvapl,1560,2.0,2.0,62.4
plot  area,ready to move,chikkabettahalli,5 Bedroom,grrvagr,1100,4.0,3.0,150.0
super built up  area,19 nov,thanisandra,3 BHK,bhe 2ko,1634,3.0,3.0,78.0
plot  area,ready to move,ambedkar nagar,5 Bedroom,thessrm,5530,5.0,3.0,627.0
built up  area,ready to move,whitefield,3 BHK,grrvagr,1150,2.0,3.0,44.0
super built up  area,18 may,ashirvad colony,2 BHK,grrvagr,1100,2.0,2.0,53.0
super built up  area,19 mar,yelahanka,3 BHK,grrvagr,1616,3.0,1.0,65.0
super built up  area,17 dec,nagavarapalya,2 BHK,puonsse,1392,2.0,1.0,99.0
super built up  area,19 dec,jakkur,3 BHK,ceezey,1798,3.0,1.0,120.0
super built up  area,ready to move,babusapalaya,3 BHK,veisear,1675,3.0,3.0,75.0
plot  area,ready to move,bhuvaneswari nagar,2 Bedroom,grrvagr,792,2.0,1.0,70.0
super built up  area,ready to move,varanasi,5 BHK,grrvagr,2000,4.0,1.0,103.0
built up  area,ready to move,hongasandra,7 Bedroom,grrvagr,600,7.0,3.0,89.0
super built up  area,19 jun,hebbal,3 BHK,raard b,1700,3.0,2.0,124.0
super built up  area,ready to move,hulimavu,2 BHK,vandak,1248,2.0,1.0,69.0
built up  area,ready to move,kalkere,2 BHK,sanetra,1147,2.0,1.0,54.0
super built up  area,ready to move,sultan palaya,2 BHK,hintsap,1100,2.0,2.0,40.0
super built up  area,ready to move,vijayanagar,3 BHK,rancy r,1527,3.0,2.0,115.0
plot  area,ready to move,shantiniketan layout,5 Bedroom,grrvagr,2400,5.0,2.0,235.0
super built up  area,21 dec,kanakpura road,1 BHK,prarepa,525,1.0,1.0,25.0
super built up  area,ready to move,kaggadasapura,2 BHK,rohtshe,1100,2.0,3.0,58.0
super built up  area,17 dec,seegehalli,2 BHK,grrvagr,1118,2.0,2.0,37.5
super built up  area,20 dec,kanakapura,3 BHK,grrvagr,1476,3.0,1.0,75.0
built up  area,ready to move,gopal reddy layout,3 BHK,krestee,2100,3.0,1.0,75.0
super built up  area,18 apr,roopena agrahara,3 BHK,grrvagr,1215,2.0,2.0,46.5
super built up  area,ready to move,ambalipura,2 BHK,dimes e,1332,2.0,1.0,79.0
super built up  area,ready to move,hennur road,2 BHK,grrvagr,1350,2.0,3.0,49.0
plot  area,ready to move,kothannur,4 Bedroom,grrvagr,600,4.0,1.0,81.0
super built up  area,ready to move,ngr layout,2 BHK,grrvagr,1105,2.0,2.0,49.73
plot  area,ready to move,padmanabhanagar,3 Bedroom,grrvagr,1500,2.0,1.0,200.0
super built up  area,ready to move,kasavanhalli,2 BHK,trensre,1200,2.0,2.0,50.0
super built up  area,18 jun,ramagondanahalli,2 BHK,viistla,1251,2.0,1.0,47.4
super built up  area,ready to move,pai layout,3 BHK,tencyes,1400,2.0,3.0,67.0
super built up  area,ready to move,rajaji nagar,3 BHK,brway g,1800,3.0,3.0,260.0
super built up  area,ready to move,hegde nagar,3 BHK,soiniy,1703,3.0,2.0,113.0
super built up  area,ready to move,nri layout,5 BHK,grrvagr,2500,5.0,3.0,130.0
super built up  area,ready to move,varthur,3 BHK,grrvagr,1250,3.0,2.0,71.0
super built up  area,ready to move,jigani,2 BHK,dlhtsen,933,2.0,2.0,43.0
plot  area,ready to move,sankeswari,1 Bedroom,grrvagr,461.82,1.0,1.0,31.7
super built up  area,ready to move,brookefield,2 BHK,mapleer,1262,2.0,1.0,75.0
super built up  area,ready to move,yelahanka,2 BHK,rarthne,915,2.0,2.0,48.0
super built up  area,ready to move,panathur,3 BHK,saite g,1370,2.0,2.0,61.5
super built up  area,ready to move,malleshpalya,2 BHK,shise p,1210,2.0,3.0,55.0
super built up  area,ready to move,kodihalli,3 BHK,soianal,2392,4.0,2.0,260.0
plot  area,18 feb,t c palya,3 Bedroom,grrvagr,1500,2.0,0.0,85.0
super built up  area,ready to move,govindraja nagar,2 BHK,grrvagr,1065,2.0,3.0,50.0
super built up  area,ready to move,rajaji nagar,4 BHK,grrvagr,3100,4.0,2.0,570.0
super built up  area,ready to move,ramamurthy nagar,3 BHK,grrvagr,1515,3.0,3.0,65.0
plot  area,19 dec,sarjapura   attibele road,4 Bedroom,grrvagr,1800,4.0,2.0,110.0
super built up  area,ready to move,thanisandra,3 BHK,mnlam g,1445,2.0,3.0,40.31
super built up  area,ready to move,uttarahalli,3 BHK,evood s,1300,2.0,1.0,55.0
built up  area,ready to move,vijayanagar,2 BHK,grrvagr,989,2.0,0.0,60.0
super built up  area,ready to move,jakkur,2 BHK,hraniib,1300,2.0,1.0,85.0
super built up  area,18 jul,chandapura,3 BHK,suncees,1185,2.0,2.0,30.22
plot  area,ready to move,battarahalli,5 Bedroom,grrvagr,1350,3.0,1.0,110.0
super built up  area,ready to move,marathahalli,2 BHK,grrvagr,1045,2.0,3.0,60.0
super built up  area,18 feb,virat nagar,2 BHK,grrvagr,1205,2.0,2.0,42.18
super built up  area,ready to move,chennammanakere achukattu,2 BHK,grrvagr,1260,2.0,1.0,75.0
plot  area,ready to move,devanahalli road,5 Bedroom,grrvagr,1320,5.0,2.0,199.0
super built up  area,ready to move,ulsoor,3 BHK,grrvagr,1500,2.0,2.0,125.0
super built up  area,18 may,bommanahalli,3 BHK,grrvagr,1250,2.0,2.0,42.5
built up  area,18 jul,"maragondana halli, kr puram, old madras road",2 BHK,grrvagr,1199,2.0,2.0,50.0
super built up  area,ready to move,hennur road,2 BHK,maity w,1385,2.0,1.0,83.09
plot  area,ready to move,dhanalakshmi layout,6 Bedroom,grrvagr,1222,5.0,3.0,250.0
super built up  area,ready to move,lakshminarayana pura,2 BHK,rothava,1149,2.0,1.0,75.0
super built up  area,ready to move,sarjapur  road,3 BHK,adeatlm,2180,3.0,2.0,170.0
plot  area,ready to move,tc palaya,8 Bedroom,grrvagr,1200,7.0,1.0,110.0
super built up  area,ready to move,jp nagar 8th phase .,10 BHK,grrvagr,12000,12.0,2.0,525.0
plot  area,ready to move,thurahalli,5 Bedroom,jalot c,1200,5.0,0.0,195.0
super built up  area,ready to move,hulimavu,3 BHK,niarkhy,1818,3.0,1.0,135.0
super built up  area,ready to move,volagerekallahalli,2 BHK,grrvagr,1070,2.0,2.0,33.0
super built up  area,ready to move,rajaji nagar,3 BHK,brway g,1640,3.0,2.0,241.0
built up  area,ready to move,nagarbhavi,3 BHK,dsesthr,1350,2.0,2.0,54.6
built up  area,ready to move,chandapura,2 BHK,grrvagr,630,1.0,1.0,27.0
super built up  area,22 jun,hoodi,2 BHK,goairej,1430,2.0,2.0,113.0
super built up  area,ready to move,nagavara,3 BHK,grrvagr,2430,4.0,3.0,180.0
plot  area,ready to move,nobo nagar,6 Bedroom,grrvagr,1500,7.0,3.0,220.0
super built up  area,ready to move,sarjapur  road,2 BHK,clell d,1084,2.0,3.0,55.0
super built up  area,ready to move,hennur road,3 BHK,koagati,1186,2.0,1.0,56.0
built up  area,ready to move,kengeri,2 BHK,vaens g,1255,2.0,2.0,50.0
super built up  area,ready to move,haralur road,4 BHK,soronsa,3400,5.0,3.0,240.0
super built up  area,18 dec,hosa road,3 BHK,mahesr,1541,3.0,1.0,69.84
super built up  area,ready to move,iblur village,4 BHK,emine p,3596,5.0,1.0,282.0
super built up  area,ready to move,raja rajeshwari nagar,2 BHK,naonysy,1295,2.0,2.0,70.0
built up  area,ready to move,sanjeevini nagar,3 BHK,betatsi,2820,3.0,2.0,285.0
super built up  area,ready to move,7th phase jp nagar,3 BHK,srncyre,1370,2.0,2.0,54.79
super built up  area,ready to move,electronic city,2 BHK,dsgmax,1100,2.0,1.0,40.0
super built up  area,18 apr,hebbal,4 BHK,emceske,4772,6.0,2.0,510.0
super built up  area,ready to move,rajaji nagar,2 BHK,brway g,1370,2.0,1.0,170.0
super built up  area,ready to move,7th phase jp nagar,3 BHK,grrvagr,1370,2.0,1.0,54.79
super built up  area,ready to move,jp nagar,2 BHK,dsillto,1200,2.0,2.0,62.0
plot  area,ready to move,gunjur,4 Bedroom,grrvagr,2000,3.0,0.0,95.0
built up  area,ready to move,9th phase jp nagar,4 BHK,imiteel,3500,4.0,2.0,300.0
plot  area,ready to move,2nd stage nagarbhavi,5 Bedroom,grrvagr,1200,4.0,3.0,240.0
plot  area,ready to move,kengeri,4 Bedroom,grrvagr,2400,5.0,2.0,253.0
super built up  area,ready to move,sarjapur  road,3 BHK,grrvagr,1220,3.0,2.0,62.0
built up  area,ready to move,kanakapura road,3 Bedroom,grrvagr,1950,3.0,2.0,130.0
super built up  area,ready to move,somasundara palya,2 BHK,manceel,1178,2.0,3.0,73.0
super built up  area,ready to move,dasanapura,3 BHK,tavenew,1286,3.0,2.0,61.44
super built up  area,ready to move,begur road,2 BHK,dhalsh,1160,2.0,2.0,42.0
super built up  area,ready to move,jigani,2 BHK,dlhtsan,918,2.0,2.0,55.0
super built up  area,21 dec,electronic city,3 BHK,konteit,1563,3.0,2.0,91.84
super built up  area,18 nov,govindpura,2 BHK,grrvagr,1326,2.0,1.0,62.17
super built up  area,ready to move,3rd block jayanagar,3 BHK,grrvagr,1350,2.0,2.0,140.0
super built up  area,17 dec,hebbal,4 BHK,cehosy,3960,5.0,3.0,386.0
super built up  area,ready to move,begur road,2 BHK,grrvagr,1240,2.0,2.0,39.06
super built up  area,ready to move,kaggadasapura,2 BHK,jaaldem,1325,2.0,2.0,50.0
super built up  area,ready to move,sonnenahalli,2 BHK,whosone,1100,2.0,1.0,44.0
super built up  area,ready to move,cunningham road,3 BHK,lelia m,3875,3.0,2.0,800.0
